State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year,,,
Rhode Island,RI,4,JOE BIDEN,59.4,"307,486",DONALD TRUMP,38.6,"199,922",Howie Hawkins,2,"10,349",2020,,2.00%,2
South Carolina,SC,9,JOE BIDEN,43.4,"1,091,541",DONALD TRUMP,55.1,"1,385,103",Howie Hawkins,1.5,"36,685",2020,,1.50%,1.5
South Dakota,SD,3,JOE BIDEN,35.6,"150,471",DONALD TRUMP,61.8,"261,043",Howie Hawkins,2.6,"11,095",2020,,2.60%,2.6
Tennessee,TN,11,JOE BIDEN,37.5,"1,143,711",DONALD TRUMP,60.7,"1,852,475",Howie Hawkins,1.9,"57,665",2020,,1.90%,1.9
Texas,TX,38,JOE BIDEN,46.5,"5,259,126",DONALD TRUMP,52.1,"5,890,347",Howie Hawkins,1.5,"165,583",2020,,1.50%,1.5
Utah,UT,6,JOE BIDEN,37.6,"560,282",DONALD TRUMP,58.1,"865,140",Howie Hawkins,4.2,"62,867",2020,,4.20%,4.2
Virginia,VA,13,JOE BIDEN,54.1,"2,413,568",DONALD TRUMP,44,"1,962,430",Howie Hawkins,1.9,"84,526",2020,,1.90%,1.9
Vermont,VT,3,JOE BIDEN,66.1,"242,820",DONALD TRUMP,30.7,"112,704",Howie Hawkins,3.2,"11,904",2020,,3.20%,3.2
Washington,WA,12,JOE BIDEN,58,"2,369,612",DONALD TRUMP,38.8,"1,584,651",Howie Hawkins,3.3,"133,368",2020,,3.30%,3.3
Wisconsin,WI,10,JOE BIDEN,49.4,"1,630,866",DONALD TRUMP,48.8,"1,610,184",Howie Hawkins,1.7,"56,991",2020,,1.70%,1.7
West Virginia,WV,5,JOE BIDEN,29.7,"235,984",DONALD TRUMP,68.6,"545,382",Howie Hawkins,1.7,"13,286",2020,,1.70%,1.7
Wyoming,WY,3,JOE BIDEN,26.6,"73,491",DONALD TRUMP,69.9,"193,559",Howie Hawkins,3.5,"9,715",2020,,3.50%,3.5
